block,tenure_height,txs,read_count,read_length,runtime,write_count,write_length
173986,171905,3,0,0,0,0,0
173985,171905,1,0,0,0,0,0
173984,171905,2,5,5347,36386,1,107
173983,171905,1,13,11534,82766,3,231
173982,171905,1,0,0,0,0,0
173981,171905,1,0,0,0,0,0
173980,171905,1,0,0,0,0,0
173979,171905,1,0,0,0,0,0
173978,171905,1,0,0,0,0,0
173977,171905,6,32,115659,409215,3,2
173976,171905,1,0,0,0,0,0
173975,171905,4,18,10876,45194,6,166
173974,171905,1,0,0,0,0,0
173973,171905,6,111,80700,663909,17,308
173972,171905,16,1596,580236,26869310,65,2472
173971,171905,22,3364,8014120,53673916,87,11320
173970,171905,31,4917,7612913,81439485,187,16692
173969,171905,62,3194,2498219,41251914,261,11135
173968,171905,34,1654,2560845,10658627,166,8594
173967,171905,12,94,231790,1001832,22,1529
173966,171905,2,0,0,0,0,0
173965,171904,1,0,0,0,0,0
173964,171904,1,0,0,0,0,0
173963,171904,2,0,0,0,0,0
173962,171904,1,0,0,0,0,0
173961,171904,2,0,0,0,0,0
173960,171904,1,0,0,0,0,0
173959,171904,1,0,0,0,0,0
173958,171904,2,0,0,0,0,0
173957,171904,1,0,0,0,0,0
173956,171904,1,0,0,0,0,0
173955,171904,1,0,0,0,0,0
173954,171904,1,0,0,0,0,0
173953,171904,1,0,0,0,0,0
173952,171904,1,0,0,0,0,0
173951,171904,2,0,0,0,0,0
173950,171904,1,0,0,0,0,0
173949,171904,1,0,0,0,0,0
173948,171904,1,0,0,0,0,0
173947,171904,1,0,0,0,0,0
173946,171904,1,0,0,0,0,0
173945,171904,1,0,0,0,0,0
173944,171904,2,0,0,0,0,0
173943,171904,1,0,0,0,0,0
173942,171904,1,0,0,0,0,0
173941,171904,1,0,0,0,0,0
173940,171904,2,0,0,0,0,0
173939,171904,1,0,0,0,0,0
173938,171904,1,0,0,0,0,0
173937,171904,2,0,0,0,0,0
173936,171904,2,0,0,0,0,0
173935,171904,1,0,0,0,0,0
173934,171904,1,0,0,0,0,0
173933,171904,2,5,5347,36338,1,101
173932,171904,1,0,0,0,0,0
173931,171904,6,162,253347,1004837,15,877
173930,171904,284,14829,25733906,215979058,1508,87837
173929,171904,2,0,0,0,0,0
173928,171903,1,0,0,0,0,0
173927,171903,1,0,0,0,0,0
173926,171903,1,0,0,0,0,0
173925,171903,2,0,0,0,0,0
173924,171903,1,0,0,0,0,0
173923,171903,1,0,0,0,0,0
173922,171903,1,0,0,0,0,0
173921,171903,1,0,0,0,0,0
173920,171903,1,0,0,0,0,0
173919,171903,1,0,0,0,0,0
173918,171903,1,0,0,0,0,0
173917,171903,1,0,0,0,0,0
173916,171903,1,0,0,0,0,0
173915,171903,1,0,0,0,0,0
173914,171903,1,0,0,0,0,0
173913,171903,1,0,0,0,0,0
173912,171903,1,0,0,0,0,0
173911,171903,1,0,0,0,0,0
173910,171903,1,0,0,0,0,0
173909,171903,2,0,0,0,0,0
173908,171903,2,0,0,0,0,0
173907,171903,1,0,0,0,0,0
173906,171903,3,0,0,0,0,0
173905,171903,1,0,0,0,0,0
173904,171903,2,0,0,0,0,0
173903,171903,1,0,0,0,0,0
173902,171903,1,0,0,0,0,0
173901,171903,1,0,0,0,0,0
173900,171903,1,0,0,0,0,0
173899,171903,1,0,0,0,0,0
173898,171903,1,0,0,0,0,0
173897,171903,1,0,0,0,0,0
173896,171903,1,0,0,0,0,0
173895,171903,1,0,0,0,0,0
173894,171903,3,0,0,0,0,0
173893,171903,2,5,4456,7644,2,1
173892,171903,4,0,0,0,0,0
173891,171903,1,0,0,0,0,0
173890,171903,1,5,77142,86911,0,0
173889,171903,1,0,0,0,0,0
173888,171903,1,0,0,0,0,0
173887,171903,2,5,77142,86911,0,0
173886,171903,3,5,5197,8527,2,1
173885,171903,4,5,4456,7644,2,1
173884,171903,1,0,0,0,0,0
173883,171903,1,0,0,0,0,0
173882,171903,4,33,20610,210543,5,102
173881,171903,405,14941,17573253,404769730,1735,82946
173880,171903,2,0,0,0,0,0
173879,171902,3,0,0,0,0,0
173878,171902,1,0,0,0,0,0
173877,171902,1,0,0,0,0,0
173876,171902,1,0,0,0,0,0
173875,171902,2,0,0,0,0,0
173874,171902,1,0,0,0,0,0
173873,171902,1,0,0,0,0,0
173872,171902,3,0,0,0,0,0
173871,171902,1,0,0,0,0,0
173870,171902,1,27,32287,67544,3,42
173869,171902,1,0,0,0,0,0
173868,171902,1,0,0,0,0,0
173867,171902,3,0,0,0,0,0
173866,171902,414,14973,15154377,98365957,1966,64030
173865,171902,2,0,0,0,0,0
173864,171901,1,0,0,0,0,0
173863,171901,1,0,0,0,0,0
173862,171901,2,0,0,0,0,0
173861,171901,1,0,0,0,0,0
173860,171901,1,6,13939,46110,1,125
173859,171901,1,0,0,0,0,0
173858,171901,2,0,0,0,0,0
173857,171901,1,5,13921,23478,1,19
173856,171901,1,0,0,0,0,0
173855,171901,12,227,433331,1721785,36,1435
173854,171901,184,7802,4920330,56247913,1177,28721
173853,171901,246,6959,4938865,43567966,1011,20676
173852,171901,2,0,0,0,0,0
173851,171900,1,0,0,0,0,0
173850,171900,1,0,0,0,0,0
173849,171900,1,0,0,0,0,0
173848,171900,1,0,0,0,0,0
173847,171900,1,0,0,0,0,0
173846,171900,2,0,0,0,0,0
173845,171900,1,0,0,0,0,0
173844,171900,1,0,0,0,0,0
173843,171900,1,0,0,0,0,0
173842,171900,1,0,0,0,0,0
173841,171900,1,0,0,0,0,0
173840,171900,1,0,0,0,0,0
173839,171900,1,0,0,0,0,0
173838,171900,2,0,0,0,0,0
173837,171900,1,0,0,0,0,0
173836,171900,1,0,0,0,0,0
173835,171900,1,0,0,0,0,0
173834,171900,1,0,0,0,0,0
173833,171900,1,0,0,0,0,0
173832,171900,1,0,0,0,0,0
173831,171900,1,0,0,0,0,0
173830,171900,1,0,0,0,0,0
173829,171900,1,0,0,0,0,0
173828,171900,1,0,0,0,0,0
173827,171900,1,0,0,0,0,0
173826,171900,2,0,0,0,0,0
173825,171900,1,0,0,0,0,0
173824,171900,1,0,0,0,0,0
173823,171900,1,0,0,0,0,0
173822,171900,2,0,0,0,0,0
173821,171900,1,0,0,0,0,0
173820,171900,1,0,0,0,0,0
173819,171900,1,0,0,0,0,0
173818,171900,1,0,0,0,0,0
173817,171900,1,0,0,0,0,0
173816,171900,1,0,0,0,0,0
173815,171900,1,0,0,0,0,0
173814,171900,1,0,0,0,0,0
173813,171900,1,0,0,0,0,0
173812,171900,1,0,0,0,0,0
173811,171900,1,0,0,0,0,0
173810,171900,1,0,0,0,0,0
